sim_time,rsu_id,rsu_x,rsu_y,obj_type,obj_id,obj_x,obj_y,distance_m,speed_mps
11.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,24.700006973777167,14.786825387117313,8.341448187521914
11.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,13.799928040215352,4.12303930502907,6.818913750279492
11.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,97.61585294809564,87.63046095863196,9.93333135895431
11.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,41.89461681151987,31.934723758844157,8.389396758224814
11.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,26.3986851890989,16.476555341793116,8.493391076608656
11.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,15.188030947371224,5.429149575290892,6.940514535779352
12.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,99.60649776536225,89.62078130530814,9.953224086333066
12.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,43.58841697156579,33.626503753078,8.469000800229608
12.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,28.0785102380721,18.149174428278478,8.399125244866019
12.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,16.602979785940676,6.794066680092334,7.074744192847269
12.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,101.59735230101457,91.61132543826761,9.954272678261622
12.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,45.2993195757026,35.335562292223116,8.554513020684011
12.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,29.745829063773854,19.810546822735002,8.336594128508757
12.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,18.038626341023825,8.196310965953025,7.1782327754157444
12.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,103.58846357443926,93.60213947460893,9.9555563671235
12.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,47.002844852465216,37.037420633402796,8.517626383813097
12.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,31.43989037691861,21.49950928217402,8.470306565723789
12.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,19.496188441369934,9.630036080618165,7.287810501730551
12.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,105.58459237027537,95.59798271193648,9.980643979180604
12.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,48.71082859184333,38.74388016535095,8.539918696890584
12.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,33.13376371631777,23.189028088352913,8.469366696995824
12.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,20.985911664971173,11.10181314518261,7.448616118006186
12.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,107.56337198976796,97.5764907855055,9.893898097462952
12.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,50.41630647185017,40.447964458381804,8.527389400034211
12.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,34.82592824927204,24.877433819387463,8.460822664771312
12.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,22.485274122264318,12.587377403894854,7.49681228646572
13.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,109.53959244411995,99.55245081835756,9.881102271759882
13.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,52.120816644464256,42.15119446464806,8.522550863070412
13.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,36.501478440091994,26.549733699430217,8.377750954099765
13.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,24.00220581991197,14.093323519424947,7.584658488238242
13.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,111.53021262246367,101.54281892464223,9.953100891718641
13.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,53.80722596532368,43.836435151331926,8.432046604297122
13.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,38.20211891204096,28.247469110150348,8.503202359744826
13.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,25.514507510042446,15.596792724120018,7.561508450652388
13.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,113.52002699604628,103.53239101490003,9.949071867913007
13.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,55.502390942574486,45.53051264252232,8.475824886254035
13.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,39.882023953854656,29.92482841352216,8.39952520906848
13.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,27.0557925909445,17.13067602009089,7.706425404510274
13.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,115.50308182104301,105.51521347055929,9.915274124983698
13.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,57.19882447118239,47.225936004080275,8.482167643039487
13.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,41.556548213665884,31.597084282595116,8.372621299056144
13.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,28.56103536489991,18.62986939881933,7.52621386977707
13.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,117.48691047082838,107.4988182379875,9.919143248926849
13.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,58.904989862153684,48.93115606050356,8.530826954856513
13.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,43.25532785468004,33.29379567910901,8.49389820507077
13.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,30.09335838937196,20.156960370148678,7.661615122360251
14.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,119.48609143242795,109.49778179100238,9.995904807997867
14.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,60.60764566380773,50.63293196757933,8.51327900827024
14.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,44.945558880043365,34.98216810660222,8.451155126816605
14.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,31.629722809338205,21.688819903554116,7.6818220998312245
14.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,121.4693402389213,111.4808226256893,9.916244032466784
14.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,62.28945643257145,52.313929827664325,8.409053843818604
14.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,46.64856899904824,36.68347870197154,8.515050595024366
14.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,33.19125572407658,23.24638341892163,7.807664573691885
14.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,123.45676796005104,113.46804922946751,9.937138605648652
14.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,63.97936438299901,54.0030719421829,8.449539752137847
14.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,48.339574131934114,38.37294547748545,8.455025664429398
14.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,34.75248451986577,24.804142595667244,7.8061439789459035
14.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,125.43894584118571,115.45003342106146,9.91088940567337
14.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,65.67458551855682,55.69757151495114,8.476105677789077
14.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,50.01006266549826,40.042041837262715,8.352442667820698
14.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,36.31238877166461,26.36099017243513,7.799521258994204
14.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,127.43296213220242,117.4438614621611,9.970081455083564
14.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,67.35603186709842,57.37834427325007,8.407231742708012
14.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,51.684053330613494,41.71474921498905,8.369953325576246
14.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,37.85634172984721,27.902253933509147,7.719764790913012
15.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,129.41403987407867,119.42475840062667,9.905388709381223
15.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,69.05997296232412,59.08164187216242,8.519705476128495
15.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,53.35723226688146,43.386744402458994,8.365894681339782
15.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,39.425418875182494,29.4688865751651,7.845385726676433
15.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,131.40446323954683,121.41500605148639,9.952116827340797
15.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,70.7523986066075,60.77346408142393,8.462128221416846
15.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,55.066519643469746,45.09491315852869,8.546436882941403
15.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,40.98412537781525,31.025409351500503,7.793532513163785
15.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,133.40181766693664,123.4121898497222,9.986772136949003
15.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,72.46315011118166,62.48363883299382,8.553757522870786
15.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,56.762081683258636,46.78944628173914,8.477810198944447
15.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,42.56799285094123,32.60727155618757,7.919337365629884
15.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,135.38776908750643,125.3979770041839,9.929757102848962
