sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
5.0,veh_1,car,A0_A1,A0_A1_2,70.14,70.14,201.6,14.933,-0.003,90.0,east_main,,
5.0,veh_2,auto,S2N_A2,S2N_A2_0,40.08,601.6,359.92,9.336,0.781,180.0,north2west,,
5.0,veh_3,car,S4N_A4,S4N_A4_0,34.67,1201.6,365.33,10.093,0.125,180.0,north4east,,
5.0,veh_4,car,S4N_A4,S4N_A4_0,22.55,1201.6,377.45,8.635,-0.129,180.0,north4east,veh_3,5.117
5.0,veh_5,bus,S2S_A2,S2S_A2_0,30.02,598.4,30.02,9.948,0.034,0.0,south2east,,
5.0,veh_6,bus,S4N_A4,S4N_A4_0,13.24,1201.6,386.76,5.722,-0.039,180.0,north4east,veh_4,2.309
5.0,veh_8,truck,S2N_A2,S2N_A2_0,9.92,601.6,390.08,9.088,-0.336,180.0,north2west,veh_2,24.659
5.2,veh_1,car,A0_A1,A0_A1_2,73.13,73.13,201.6,14.948,0.076,90.0,east_main,,
5.2,veh_2,auto,S2N_A2,S2N_A2_0,41.91,601.6,358.09,9.148,-0.94,180.0,north2west,,
5.2,veh_3,car,S4N_A4,S4N_A4_0,36.69,1201.6,363.31,10.092,-0.006,180.0,north4east,,
5.2,veh_4,car,S4N_A4,S4N_A4_0,24.31,1201.6,375.69,8.803,0.842,180.0,north4east,veh_3,5.375
5.2,veh_5,bus,S2S_A2,S2S_A2_0,32.0,598.4,32.0,9.931,-0.084,0.0,south2east,,
5.2,veh_6,bus,S4N_A4,S4N_A4_0,14.41,1201.6,385.59,5.831,0.543,180.0,north4east,veh_4,2.904
5.2,veh_8,truck,S2N_A2,S2N_A2_0,11.74,601.6,388.26,9.109,0.108,180.0,north2west,veh_2,24.666
5.4,veh_1,car,A0_A1,A0_A1_2,76.12,76.12,201.6,14.93,-0.093,90.0,east_main,,
5.4,veh_2,auto,S2N_A2,S2N_A2_0,43.78,601.6,356.22,9.355,1.037,180.0,north2west,,
5.4,veh_3,car,S4N_A4,S4N_A4_0,38.71,1201.6,361.29,10.1,0.042,180.0,north4east,,
