sim_time,rsu_id,x,y,type,range_m
19.6,RSU_A4,1200.0,10.0,poi_rsu,150
19.8,RSU_A2,600.0,10.0,poi_rsu,150
19.8,RSU_A4,1200.0,10.0,poi_rsu,150
20.0,RSU_A2,600.0,10.0,poi_rsu,150
20.0,RSU_A4,1200.0,10.0,poi_rsu,150
20.2,RSU_A2,600.0,10.0,poi_rsu,150
20.2,RSU_A4,1200.0,10.0,poi_rsu,150
20.4,RSU_A2,600.0,10.0,poi_rsu,150
20.4,RSU_A4,1200.0,10.0,poi_rsu,150
20.6,RSU_A2,600.0,10.0,poi_rsu,150
20.6,RSU_A4,1200.0,10.0,poi_rsu,150
20.8,RSU_A2,600.0,10.0,poi_rsu,150
20.8,RSU_A4,1200.0,10.0,poi_rsu,150
21.0,RSU_A2,600.0,10.0,poi_rsu,150
21.0,RSU_A4,1200.0,10.0,poi_rsu,150
21.2,RSU_A2,600.0,10.0,poi_rsu,150
21.2,RSU_A4,1200.0,10.0,poi_rsu,150
21.4,RSU_A2,600.0,10.0,poi_rsu,150
21.4,RSU_A4,1200.0,10.0,poi_rsu,150
21.6,RSU_A2,600.0,10.0,poi_rsu,150
21.6,RSU_A4,1200.0,10.0,poi_rsu,150
21.8,RSU_A2,600.0,10.0,poi_rsu,150
21.8,RSU_A4,1200.0,10.0,poi_rsu,150
22.0,RSU_A2,600.0,10.0,poi_rsu,150
22.0,RSU_A4,1200.0,10.0,poi_rsu,150
22.2,RSU_A2,600.0,10.0,poi_rsu,150
22.2,RSU_A4,1200.0,10.0,poi_rsu,150
22.4,RSU_A2,600.0,10.0,poi_rsu,150
22.4,RSU_A4,1200.0,10.0,poi_rsu,150
22.6,RSU_A2,600.0,10.0,poi_rsu,150
22.6,RSU_A4,1200.0,10.0,poi_rsu,150
22.8,RSU_A2,600.0,10.0,poi_rsu,150
22.8,RSU_A4,1200.0,10.0,poi_rsu,150
23.0,RSU_A2,600.0,10.0,poi_rsu,150
23.0,RSU_A4,1200.0,10.0,poi_rsu,150
23.2,RSU_A2,600.0,10.0,poi_rsu,150
23.2,RSU_A4,1200.0,10.0,poi_rsu,150
23.4,RSU_A2,600.0,10.0,poi_rsu,150
23.4,RSU_A4,1200.0,10.0,poi_rsu,150
23.6,RSU_A2,600.0,10.0,poi_rsu,150
23.6,RSU_A4,1200.0,10.0,poi_rsu,150
23.8,RSU_A2,600.0,10.0,poi_rsu,150
23.8,RSU_A4,1200.0,10.0,poi_rsu,150
24.0,RSU_A2,600.0,10.0,poi_rsu,150
24.0,RSU_A4,1200.0,10.0,poi_rsu,150
24.2,RSU_A2,600.0,10.0,poi_rsu,150
24.2,RSU_A4,1200.0,10.0,poi_rsu,150
24.4,RSU_A2,600.0,10.0,poi_rsu,150
24.4,RSU_A4,1200.0,10.0,poi_rsu,150
24.6,RSU_A2,600.0,10.0,poi_rsu,150
24.6,RSU_A4,1200.0,10.0,poi_rsu,150
24.8,RSU_A2,600.0,10.0,poi_rsu,150
24.8,RSU_A4,1200.0,10.0,poi_rsu,150
25.0,RSU_A2,600.0,10.0,poi_rsu,150
25.0,RSU_A4,1200.0,10.0,poi_rsu,150
25.2,RSU_A2,600.0,10.0,poi_rsu,150
25.2,RSU_A4,1200.0,10.0,poi_rsu,150
25.4,RSU_A2,600.0,10.0,poi_rsu,150
25.4,RSU_A4,1200.0,10.0,poi_rsu,150
25.6,RSU_A2,600.0,10.0,poi_rsu,150
25.6,RSU_A4,1200.0,10.0,poi_rsu,150
25.8,RSU_A2,600.0,10.0,poi_rsu,150
25.8,RSU_A4,1200.0,10.0,poi_rsu,150
26.0,RSU_A2,600.0,10.0,poi_rsu,150
26.0,RSU_A4,1200.0,10.0,poi_rsu,150
26.2,RSU_A2,600.0,10.0,poi_rsu,150
26.2,RSU_A4,1200.0,10.0,poi_rsu,150
26.4,RSU_A2,600.0,10.0,poi_rsu,150
26.4,RSU_A4,1200.0,10.0,poi_rsu,150
26.6,RSU_A2,600.0,10.0,poi_rsu,150
26.6,RSU_A4,1200.0,10.0,poi_rsu,150
26.8,RSU_A2,600.0,10.0,poi_rsu,150
26.8,RSU_A4,1200.0,10.0,poi_rsu,150
27.0,RSU_A2,600.0,10.0,poi_rsu,150
27.0,RSU_A4,1200.0,10.0,poi_rsu,150
27.2,RSU_A2,600.0,10.0,poi_rsu,150
27.2,RSU_A4,1200.0,10.0,poi_rsu,150
